iter	RMSE
0	1975.252416
1	1974.276405
2	1974.219053
3	1972.386156
4	1972.195621
5	1971.985784
6	1971.482322
7	1970.035649
8	1969.285
9	1969.144653
10	1969.141524
11	1967.356483
12	1967.233924
13	1967.098182
14	1966.832611
15	1966.811225
16	1966.567328
17	1965.791148
18	1965.354088
19	1965.351169
20	1965.267291
21	1965.209893
22	1964.632899
23	1964.570076
24	1964.471457
25	1964.415982
26	1964.413387
27	1964.3113
28	1963.63787
29	1963.59265
30	1963.562682
31	1961.588362
32	1960.768609
33	1960.603707
34	1959.884997
35	1959.511017
36	1959.509174
37	1959.136422
38	1959.0487
39	1959.033518
40	1958.906643
41	1958.904908
42	1958.27095
43	1957.999516
44	1957.992789
45	1957.98194
46	1957.917927
47	1957.758644
48	1957.657078
49	1957.638957
50	1956.570777
51	1956.456663
52	1956.256215
53	1954.901509
54	1954.899879
55	1954.79936
56	1954.789145
57	1954.780342
58	1954.682425
59	1954.658516
60	1954.65732
61	1954.573635
62	1954.571679
63	1954.407232
64	1954.354733
65	1954.341037
66	1954.292557
67	1954.291253
68	1954.075471
69	1953.719516
70	1953.717993
71	1953.7131
72	1953.569025
73	1953.567937
74	1953.535968
75	1953.533358
76	1953.532488
77	1953.531509
78	1953.53053
79	1953.40395
80	1952.658874
81	1952.624061
82	1952.616228
83	1952.508411
84	1952.508193
85	1952.501556
86	1952.498292
87	1952.403416
88	1952.399064
89	1952.398955
90	1952.398955
91	1952.396671
92	1952.394821
93	1952.394712
94	1952.39123
95	1952.303857
96	1952.30266
97	1952.300158
98	1952.290691
99	1952.285795
100	1952.197111
101	1952.1908
102	1952.190364
103	1952.183509
104	1952.15206
105	1952.144987
106	1951.99481
107	1951.852023
108	1951.847016
109	1951.812841
110	1950.199412
111	1950.137757
112	1950.011066
113	1950.010848
114	1949.959101
115	1949.958774
116	1949.954526
117	1949.953981
118	1949.952892
119	1949.930014
120	1949.92936
121	1949.926636
122	1949.926092
123	1949.918684
124	1949.915524
125	1948.824472
126	1948.26814
127	1948.237936
128	1948.07012
129	1947.993895
130	1947.992041
131	1947.928899
132	1947.927481
133	1947.919738
134	1947.914612
135	1946.381774
136	1946.35547
137	1946.35547
138	1946.35427
139	1946.353397
140	1946.352742
141	1946.348594
142	1946.346084
143	1946.131168
144	1946.110974
145	1946.109555
146	1945.397721
147	1945.397175
148	1945.396411
149	1945.393135
150	1945.390186
151	1945.388767
152	1945.387566
153	1945.38691
154	1945.385818
155	1945.383198
156	1945.237522
157	1945.233809
158	1944.730413
159	1944.729539
160	1944.72659
161	1944.726262
162	1944.724186
163	1944.723422
164	1944.722766
165	1944.722329
166	1944.721783
167	1944.721565
168	1944.700919
169	1944.700701
170	1944.698516
171	1944.698188
172	1944.579336
173	1944.578899
174	1944.578462
175	1944.578243
176	1944.577806
177	1944.574747
178	1944.574529
179	1944.573764
180	1944.142424
181	1944.088773
182	1944.087789
183	1944.087352
184	1944.087352
185	1944.006709
186	1943.947481
187	1943.947044
188	1943.906938
189	1943.896884
190	1943.892404
191	1943.892076
192	1943.821369
193	1943.821369
194	1943.378385
195	1943.373684
196	1943.373466
197	1943.36953
198	1942.621043
199	1942.234004
200	1941.936591
201	1941.615391
202	1941.613968
203	1940.966592
204	1940.965607
205	1940.965498
206	1939.920551
207	1939.917047
208	1939.91639
209	1939.915514
210	1939.915404
211	1939.636473
212	1939.635378
213	1939.589379
214	1939.58905
215	1939.56134
216	1939.561231
217	1939.540311
218	1939.540202
219	1939.535711
220	1939.535602
221	1939.535383
222	1939.495624
223	1939.494857
224	1938.22664
225	1938.224667
226	1938.222804
227	1938.222475
228	1938.222475
229	1938.219078
230	1938.218091
231	1938.162851
232	1938.143122
233	1938.14104
234	1938.019374
235	1937.81921
236	1937.818882
237	1937.791366
238	1937.751462
239	1937.749927
240	1937.74894
241	1937.744884
242	1936.661563
243	1936.660796
244	1936.659918
245	1936.659918
246	1936.58818
247	1936.473546
248	1935.664667
249	1935.067008
250	1935.066678
251	1935.06591
252	1935.06569
253	1935.0658
254	1934.88202
255	1934.878836
256	1934.877628
257	1934.846667
258	1934.846337
259	1934.528901
260	1934.518579
261	1934.499911
262	1934.3018
263	1934.236564
264	1934.235905
265	1934.227887
266	1934.13552
267	1934.026673
268	1933.23545
269	1933.234681
270	1933.234681
271	1933.234681
272	1933.230615
273	1933.228527
274	1933.227538
275	1933.227538
276	1933.226879
277	1933.213583
278	1933.212704
279	1933.212924
280	1933.209297
281	1933.209188
282	1933.209078
283	1933.208968
284	1933.208968
285	1933.176991
286	1931.962574
287	1931.860532
288	1931.856904
289	1931.856574
290	1931.248936
291	1931.248386
292	1931.248056
293	1931.247726
294	1931.247286
295	1931.247176
296	1931.246956
297	1931.096584
298	1931.096474
299	1931.096144
300	1931.096254
301	1931.095594
302	1931.080963
303	1931.079863
304	1931.029589
305	1931.025849
306	1930.120477
307	1930.120367
308	1930.112002
309	1929.786962
310	1929.786852
311	1929.786852
312	1929.786742
313	1929.712877
314	1929.712767
315	1929.712767
316	1929.664549
317	1929.664549
