iter	Passed	Remaining
0	27	41222
1	52	39265
2	67	33884
3	83	31266
4	99	29839
5	117	29349
6	136	29058
7	161	30140
8	176	29178
9	190	28406
10	204	27686
11	216	26860
12	229	26202
13	245	26018
14	258	25562
15	270	25105
16	285	24867
17	304	25082
18	317	24787
19	330	24492
20	348	24558
21	362	24383
22	375	24101
23	389	23931
24	403	23781
25	418	23737
26	430	23497
27	452	23765
28	467	23710
29	483	23703
30	495	23478
31	509	23391
32	526	23399
33	549	23695
34	568	23808
35	587	23888
36	600	23735
37	618	23795
38	633	23730
39	645	23564
40	661	23528
41	676	23487
42	705	23912
43	733	24257
44	752	24344
45	772	24420
46	794	24574
47	812	24589
48	827	24512
49	841	24399
50	863	24527
51	877	24446
52	893	24392
53	908	24314
54	919	24154
55	936	24142
56	951	24079
57	965	24014
58	987	24124
59	1003	24076
60	1021	24095
61	1035	24021
62	1048	23921
63	1064	23883
64	1087	24002
65	1103	23986
66	1117	23908
67	1131	23820
68	1151	23874
69	1168	23870
70	1182	23798
71	1196	23732
72	1211	23679
73	1224	23591
74	1248	23730
75	1263	23677
76	1278	23624
77	1290	23522
78	1300	23397
79	1314	23332
80	1329	23296
81	1351	23376
82	1363	23283
83	1377	23225
84	1391	23161
85	1405	23103
86	1417	23026
87	1431	22973
88	1446	22929
89	1461	22899
90	1476	22858
91	1487	22769
92	1498	22669
93	1511	22608
94	1523	22531
95	1537	22489
96	1551	22439
97	1563	22369
98	1578	22334
99	1589	22257
100	1609	22290
101	1626	22297
102	1641	22260
103	1658	22255
104	1679	22318
105	1699	22347
106	1717	22361
107	1732	22324
108	1752	22370
109	1777	22456
110	1829	22897
111	1859	23040
112	1882	23111
113	1897	23066
114	1911	23020
115	1924	22959
116	1937	22898
117	1948	22824
118	1960	22750
119	1971	22673
120	1982	22594
121	1996	22546
122	2007	22477
123	2020	22420
124	2031	22349
125	2046	22315
126	2070	22387
127	2096	22471
128	2113	22458
129	2134	22493
130	2147	22438
131	2162	22409
132	2178	22389
133	2194	22367
134	2207	22322
135	2226	22326
136	2246	22353
137	2262	22332
138	2281	22335
139	2297	22314
140	2311	22280
141	2329	22280
142	2344	22247
143	2373	22347
144	2400	22428
145	2416	22411
146	2435	22417
147	2449	22379
148	2464	22347
149	2481	22333
150	2499	22333
151	2515	22307
152	2528	22264
153	2542	22224
154	2562	22234
155	2583	22258
156	2611	22342
157	2628	22328
158	2655	22397
159	2669	22356
160	2686	22339
161	2699	22296
162	2714	22265
163	2728	22225
164	2743	22193
165	2758	22169
166	2771	22125
167	2783	22072
168	2812	22147
169	2825	22106
170	2839	22067
171	2851	22017
172	2881	22099
173	2894	22056
174	2906	22010
175	2920	21969
176	2933	21929
177	2952	21928
178	2966	21894
179	2982	21874
180	3004	21893
181	3018	21856
182	3032	21822
183	3045	21781
184	3059	21743
185	3075	21727
186	3090	21699
187	3105	21669
188	3124	21669
189	3147	21700
